"MarketID","BusinessUnitID","PageType","PageTitle","MetaKeywords","MetaDescription","PassthroughURL","IsRequired","IsReadOnly","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID","PageID"
"0","2","PASSTHROUGH","Request Information","","","Contact.aspx?bu=2&type=request","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","15"
"0","2","PASSTHROUGH","Provide Feedback","","","Contact.aspx?bu=2&type=feedback","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","16"
"0","2","PASSTHROUGH","Information/Sample Requests","","","Register.aspx?bu=2","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","17"
"1","2","MARKET HOME","Electronics Cleaning","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","18"
"2","2","MARKET HOME","Precision and Industrial Cleaning","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","19"
"3","2","MARKET HOME","Asphalt Products","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","20"
"4","2","MARKET HOME","Aerospace/Airline","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","21"
"0","3","BUSINESS HOME","Fuels Division","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","22"
"0","3","GENERAL CONTENT > ABOUT","About Petroferm Inc.","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","23"
"0","3","GENERAL CONTENT > CAPABILITIES","Manufacturing Capabilities","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","24"
"0","3","GENERAL CONTENT > HISTORY","Company History","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","25"
"0","3","GENERAL CONTENT","Contact Us","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","26"
"0","3","PASSTHROUGH","Request Information","","","Contact.aspx?bu=3&type=request","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","27"
"0","3","PASSTHROUGH","Provide Feedback","","","Contact.aspx?bu=3&type=feedback","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","28"
"0","3","PASSTHROUGH","Information/Sample Requests","","","Register.aspx?bu=3","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","29"
"5","3","MARKET HOME","Combustion Enhancement Technologies","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","30"
"6","3","MARKET HOME","Oilfield Products","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","31"
"0","4","BUSINESS HOME","Our Customers' First Choice","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","32"
"0","4","GENERAL CONTENT > ABOUT","About Petroferm Inc.","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","33"
"0","4","GENERAL CONTENT > CAPABILITIES","Manufacturing Capabilities","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","34"
"0","4","GENERAL CONTENT > HISTORY","Company History","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","35"
"0","4","GENERAL CONTENT","Contact Us","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","36"
"0","4","PASSTHROUGH","Request Information","","","Contact.aspx?bu=4&type=request","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","37"
"0","4","PASSTHROUGH","Provide Feedback","","","Contact.aspx?bu=4&type=feedback","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","38"
"0","4","PASSTHROUGH","Information/Sample Requests","","","Register.aspx?bu=4","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","39"
"7","4","MARKET HOME","Food & Food Processing","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","40"
"8","4","MARKET HOME","Coatings & Colorants","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","41"
"9","4","MARKET HOME","Lubricants & Metalworking","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","42"
"10","4","MARKET HOME","Personal Care & Pharmaceuticals","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","43"
"0","5","BUSINESS HOME","Welcome to Joseph Storey & Co Ltd","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","44"
"0","5","GENERAL CONTENT > ABOUT","About Petroferm Inc.","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","45"
"0","5","GENERAL CONTENT > CAPABILITIES","Manufacturing Capabilities","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","46"
"0","5","GENERAL CONTENT > HISTORY","Company History","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","47"
"0","5","GENERAL CONTENT","Contact Us","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","48"
"0","5","PASSTHROUGH","Request Information","","","Contact.aspx?bu=5&type=request","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","49"
"0","5","PASSTHROUGH","Provide Feedback","","","Contact.aspx?bu=5&type=feedback","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","50"
"0","5","PASSTHROUGH","Information/Sample Requests","","","Register.aspx?bu=5","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","51"
"11","5","MARKET HOME","Flame Retardants","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","52"
"0","4","GENERAL CONTENT","Worldwide Organizations","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","53"
"0","5","GENERAL CONTENT","Worldwide Organizations","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","54"
"0","4","GENERAL CONTENT","Lambent Technologies Synthetic Specialties Division - Functional Silicones","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","55"
"0","4","GENERAL CONTENT","Welcome to Lambent Technologies!","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","56"
