"PageID","MarketID","BusinessUnitID","PageType","PageTitle","MetaKeywords","MetaDescription","PassthroughURL","IsRequired","IsReadOnly","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"44","0","5","BUSINESS HOME","Welcome to Joseph Storey & Co Ltd","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"45","0","5","GENERAL CONTENT > ABOUT","About Petroferm Inc.","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"46","0","5","GENERAL CONTENT > CAPABILITIES","Manufacturing Capabilities","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"47","0","5","GENERAL CONTENT > HISTORY","Company History","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"48","0","5","GENERAL CONTENT","Contact Us","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"49","0","5","PASSTHROUGH","Request Information","","","Contact.aspx?bu=5&type=request","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"50","0","5","PASSTHROUGH","Provide Feedback","","","Contact.aspx?bu=5&type=feedback","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"51","0","5","PASSTHROUGH","Information/Sample Requests","","","Register.aspx?bu=5","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"52","11","5","MARKET HOME","Flame Retardants","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"53","0","4","GENERAL CONTENT","Worldwide Organizations","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"54","0","5","GENERAL CONTENT","Worldwide Organizations","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"55","0","4","GENERAL CONTENT","Lambent Technologies Synthetic Specialties Division - Functional Silicones","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"56","0","4","GENERAL CONTENT","Welcome to Lambent Technologies!","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
